",user_left,user_right,read_set_similarity,read_list_distance,read_list_similarity"
"0,-Alenka94-,EbertArtisanal,0.05,0.010050506338833531,0.0005025253169416765"
"0,-Alenka94-,MihailBazhnjov,0.05,0.040000000000000036,0.0020000000000000018"
"0,-Alenka94-,Smekalova85,0.03389830508474576,0.010050506338833531,0.00034069513012995024"
"0,-Alenka94-,alimakada,0.05,0.0004879239129211843,2.4396195646059217e-05"
"0,-Anastasiia-,13_Ksenia_13,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,16milka16,0.1,0.0011869440384786323,0.00011869440384786323"
"0,-Anastasiia-,89658475820v,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Anastasiia-,AVAniya,0.05,0.010050506338833531,0.0005025253169416765"
"0,-Anastasiia-,AgnessaKazakova,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,AisuluDujsenbieva,0.08333333333333333,0.006003529954200948,0.000500294162850079"
"0,-Anastasiia-,Akeyn,0.125,0.004129405114177587,0.0005161756392721983"
"0,-Anastasiia-,AlinaSmax,0.075,0.005865153227565645,0.00043988649206742333"
"0,-Anastasiia-,AltanaNeryupova,0.05263157894736842,0.0017256268250041007,9.082246447390003e-05"
"0,-Anastasiia-,AnastasiaBuryanskaya,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,AnastasiaKildiarova,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Anastasiia-,AnastasiyaKrasavina,0.0375,0.009852457023325822,0.0003694671383747183"
"0,-Anastasiia-,AnastasiyaMurovitskaya,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,Angelina2002,0.075,0.0011869440384786323,8.902080288589741e-05"
"0,-Anastasiia-,AngelinaYankovskaya,0.06666666666666667,0.005063323673818121,0.00033755491158787474"
"0,-Anastasiia-,Anix27,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,Ariaaa,0.075,0.0017256268250041007,0.00012942201187530754"
